timestamp,equity_value
2025-06-20 17:05:04.575959,10000.0
2024-01-01 10:00:00.000000,10000.0
2024-01-01 11:00:00.000000,10000.0
2024-01-01 12:00:00.000000,10000.0
2024-01-01 13:00:00.000000,10000.0
2024-01-01 14:00:00.000000,10000.0
2024-01-01 15:00:00.000000,10000.0
2024-01-01 16:00:00.000000,10000.0
2024-01-01 17:00:00.000000,10000.0
2024-01-01 18:00:00.000000,9998.8
2024-01-01 19:00:00.000000,10027.628828828829
2024-01-01 20:00:00.000000,10063.664864864864
2024-01-01 21:00:00.000000,10099.7009009009
2024-01-01 22:00:00.000000,10135.736936936937
2024-01-01 23:00:00.000000,10171.772972972973
2024-01-02 00:00:00.000000,10207.809009009008
2024-01-02 01:00:00.000000,10243.845045045044
2024-01-02 02:00:00.000000,10279.881081081081
2024-01-02 03:00:00.000000,10277.026068324325
2024-01-02 04:00:00.000000,10303.380579758836
2024-01-02 05:00:00.000000,10329.735091193348
2024-01-02 06:00:00.000000,10356.089602627859
2024-01-02 07:00:00.000000,10382.44411406237
2024-01-02 08:00:00.000000,10408.798625496882
2024-01-02 09:00:00.000000,10435.153136931393
2024-01-02 10:00:00.000000,10461.507648365905
2024-01-02 11:00:00.000000,10487.862159800416
2024-01-02 12:00:00.000000,10514.216671234928
2024-01-02 13:00:00.000000,10540.571182669439
2024-01-02 14:00:00.000000,10566.92569410395
2024-01-02 15:00:00.000000,10563.989622635723
2024-01-02 16:00:00.000000,10583.554914216335
2024-01-02 17:00:00.000000,10603.120205796946
2024-01-02 18:00:00.000000,10622.685497377557
2024-01-02 19:00:00.000000,10642.250788958168
2024-01-02 20:00:00.000000,10657.903022222657
2024-01-02 21:00:00.000000,10667.685668012964
2024-01-02 22:00:00.000000,10673.555255487146
2024-01-02 23:00:00.000000,10677.468313803269
2024-01-03 00:00:00.000000,10673.555255487146
2024-01-03 01:00:00.000000,10667.685668012964
2024-01-03 02:00:00.000000,10653.989963906535
2024-01-03 03:00:00.000000,10642.250788958168
2024-01-03 04:00:00.000000,10634.424672325924
2024-01-03 05:00:00.000000,10622.685497377557
2024-01-03 06:00:00.000000,10614.859380745313
2024-01-03 07:00:00.000000,10605.076734955008
2024-01-03 08:00:00.000000,10595.294089164701
2024-01-03 09:00:00.000000,10583.554914216335
2024-01-03 10:00:00.000000,10575.72879758409
2024-01-03 11:00:00.000000,10563.989622635723
2024-01-03 12:00:00.000000,10556.163506003479
2024-01-03 13:00:00.000000,10544.424331055112
2024-01-03 14:00:00.000000,10536.598214422867
2024-01-03 15:00:00.000000,10524.8590394745
2024-01-03 16:00:00.000000,10517.032922842256
2024-01-03 17:00:00.000000,10505.29374789389
2024-01-03 18:00:00.000000,10497.467631261645
2024-01-03 19:00:00.000000,10485.728456313278
2024-01-03 20:00:00.000000,10477.902339681033
2024-01-03 21:00:00.000000,10466.163164732667
2024-01-03 22:00:00.000000,10458.337048100422
2024-01-03 23:00:00.000000,10455.972828744272
2024-01-04 00:00:00.000000,10446.977364059483
2024-01-04 01:00:00.000000,10433.484167032299
2024-01-04 02:00:00.000000,10424.48870234751
2024-01-04 03:00:00.000000,10410.995505320325
2024-01-04 04:00:00.000000,10402.000040635536
2024-01-04 05:00:00.000000,10388.506843608351
2024-01-04 06:00:00.000000,10379.511378923562
2024-01-04 07:00:00.000000,10366.018181896377
2024-01-04 08:00:00.000000,10357.022717211588
2024-01-04 09:00:00.000000,10343.529520184404
2024-01-04 10:00:00.000000,10341.202224625578
2024-01-04 11:00:00.000000,10325.590989428863
2024-01-04 12:00:00.000000,10315.18349929772
2024-01-04 13:00:00.000000,10299.572264101005
2024-01-04 14:00:00.000000,10289.16477396986
2024-01-04 15:00:00.000000,10273.553538773145
2024-01-04 16:00:00.000000,10263.146048642002
2024-01-04 17:00:00.000000,10247.534813445287
2024-01-04 18:00:00.000000,10237.127323314144
2024-01-04 19:00:00.000000,10236.042342467972
2024-01-04 20:00:00.000000,10236.042342467972
2024-01-04 21:00:00.000000,10236.042342467972
2024-01-04 22:00:00.000000,10236.042342467972
2024-01-04 23:00:00.000000,10236.042342467972
